inter_id,source,target,interaction,tissue_dataset,tau_source,tau_target,inter_tau,pairs_type,network_type,metastasis_dataset,signal,value,stat,pval,pval_corr,cancer_entropy,metastasis_entropy,is_curated
422,WNT4,LRP6,9414.0,gtex,0.739,0.348,0.739,frequency,genecalls,autopsy,-1.0,-5756.0,MWU_ratio,0.0037590475095751,0.0221552959358884,2.924699992346545,3.007392074661692,yes
1149,APOC2,LRP1,385.0,gtex,0.862,0.317,0.862,frequency,genecalls,hcmdb,1.0,2706.0,MWU_ratio,0.000343887693578,0.0123706035957312,2.7098345557895427,2.472963442149656,yes
1158,FCN1,LRP1,3739.0,gtex,0.895,0.317,0.895,frequency,genecalls,autopsy,1.0,8371.0,MWU_ratio,2.1486622189615146e-07,1.1363061285854976e-05,2.5733009703333543,2.062874285111209,no
3592,CXCL11,CCR5,2770.0,gtex,0.831,0.775,0.831,frequency,genecalls,autopsy,1.0,3478.0,MWU_ratio,0.0051599749294646,0.0269580948263829,1.9964308002122155,1.877931333243085,yes
4855,CD40LG,VEGFA,1506.0,gtex,0.836,0.377,0.836,frequency,genecalls,autopsy,1.0,5551.0,MWU_ratio,0.0043149398911943,0.0235564204453261,2.637397393650456,2.45013919525338,no
5856,DBH,ADRA2A,3059.0,gtex,0.848,0.581,0.848,frequency,genecalls,hcmdb,1.0,2066.0,MWU_ratio,1.7515940566670153e-05,0.0025404601207066,2.2672445174089177,1.7478680974667575,no
5890,CD40LG,CD40,1491.0,gtex,0.836,0.506,0.836,frequency,genecalls,autopsy,1.0,5264.0,MWU_ratio,0.0063907950225289,0.0315441527016759,2.66076961187075,2.398198024674663,yes
1747,CXCL11,CCR7,2772.0,gtex,0.831,0.824,0.831,frequency,genecalls,autopsy,1.0,5975.0,MWU_ratio,0.0004116745454498,0.0046709795411326,2.489240153710156,2.178024251155957,no
1756,CCL3,CCR7,1177.0,gtex,0.816,0.824,0.824,frequency,genecalls,autopsy,1.0,6250.0,MWU_ratio,0.0002198049698367,0.0031238826974597,2.489240153710156,2.178024251155957,no
1756,CCL3,CCR7,1177.0,gtex,0.816,0.824,0.824,frequency,genecalls,hcmdb,1.0,2390.0,MWU_ratio,5.17345062572676e-05,0.0034909670944635,2.3888711067734283,1.8527643972338883,no
1778,XCL2,CCR7,9559.0,gtex,0.884,0.824,0.884,frequency,genecalls,hcmdb,1.0,1972.0,MWU_ratio,0.0024244428174878,0.0432972808608573,2.430791328878232,2.0038677600583696,no
1782,CCL4L2,CCR7,1235.0,gtex,0.854,0.824,0.854,frequency,genecalls,autopsy,1.0,4305.0,MWU_ratio,0.0013597906627948,0.0100609515978117,2.378620199410213,1.7878192054733966,no
4044,CXCL11,CCR2,2767.0,gtex,0.831,0.835,0.835,frequency,genecalls,autopsy,1.0,3478.0,MWU_ratio,0.0051599749294646,0.0269580948263829,1.9964308002122155,1.877931333243085,no
4052,CCL3,CCR2,1172.0,gtex,0.816,0.835,0.835,frequency,genecalls,hcmdb,1.0,1325.0,MWU_ratio,0.0017522611813622,0.0351889989036634,1.945910149055314,1.3060091503308635,yes
4137,CXCL11,CXCR4,2779.0,gtex,0.831,0.532,0.831,frequency,genecalls,autopsy,1.0,10202.0,MWU_ratio,1.5542309932401132e-07,1.1363061285854976e-05,2.637397393650456,2.45013919525338,no
4147,CCL15,CXCR4,856.0,gtex,0.897,0.532,0.897,frequency,genecalls,autopsy,1.0,6858.0,MWU_ratio,0.0026237477411246,0.0165425911918107,2.7631798551351903,2.830633196691858,no
4147,CCL15,CXCR4,856.0,gtex,0.897,0.532,0.897,frequency,genecalls,hcmdb,1.0,2236.0,MWU_ratio,0.0030887099573185,0.0489075738146496,2.6366857384162152,2.544125481286139,no
4149,CCL3,CXCR4,1184.0,gtex,0.816,0.532,0.816,frequency,genecalls,autopsy,1.0,10776.0,MWU_ratio,3.0039827730079486e-08,5.089005060434225e-06,2.637397393650456,2.45013919525338,no
4149,CCL3,CXCR4,1184.0,gtex,0.816,0.532,0.816,frequency,genecalls,hcmdb,1.0,3713.0,MWU_ratio,7.873531081369604e-08,6.851721714365193e-05,2.6009915203361693,2.1874046699967837,no
4169,XCL1,CXCR4,9548.0,gtex,0.842,0.532,0.842,frequency,genecalls,autopsy,1.0,5551.0,MWU_ratio,0.0043149398911943,0.0235564204453261,2.637397393650456,2.45013919525338,no
4170,XCL2,CXCR4,9566.0,gtex,0.884,0.532,0.884,frequency,genecalls,autopsy,1.0,7836.0,MWU_ratio,0.0002520772181459,0.0034379390130886,2.7113118813462416,2.63502327950055,no
4170,XCL2,CXCR4,9566.0,gtex,0.884,0.532,0.884,frequency,genecalls,hcmdb,1.0,2789.0,MWU_ratio,0.0001662701773024,0.0070405979384106,2.661774702481238,2.365548182318401,no
4180,CCL4L2,CXCR4,1242.0,gtex,0.854,0.532,0.854,frequency,genecalls,autopsy,1.0,8371.0,MWU_ratio,2.1486622189615146e-07,1.1363061285854976e-05,2.5733009703333543,2.062874285111209,no
4180,CCL4L2,CXCR4,1242.0,gtex,0.854,0.532,0.854,frequency,genecalls,hcmdb,1.0,1860.0,MWU_ratio,0.0016345051614599,0.0336880116435629,2.5432606923036194,1.8172056050805705,no
4171,ADRA1A,CXCR4,206.0,gtex,0.826,0.532,0.826,frequency,genecalls,autopsy,1.0,7867.0,MWU_ratio,0.0004715845879219,0.005027301549092,2.7725887222397807,2.747581021487564,yes
4171,ADRA1A,CXCR4,206.0,gtex,0.826,0.532,0.826,frequency,genecalls,hcmdb,1.0,3396.0,MWU_ratio,7.035280055162533e-06,0.0022577760267656,2.705048707285793,2.4690596774363995,yes
5074,CXCL16,CCR1,2866.0,gtex,0.467,0.708,0.708,frequency,genecalls,autopsy,1.0,7552.0,MWU_ratio,0.000943032619492,0.0073679754612369,2.8709514570484758,2.8709514570484744,no
5078,CCL5,CCR1,1250.0,gtex,0.678,0.708,0.708,frequency,genecalls,autopsy,1.0,9045.0,MWU_ratio,8.326214717463113e-05,0.0015544543514249,2.857875826684075,2.7232128612718967,yes
5083,CXCL11,CCR1,2765.0,gtex,0.831,0.708,0.831,frequency,genecalls,autopsy,1.0,4518.0,MWU_ratio,0.0002796655624357,0.0036417421815328,1.9964308002122155,1.877931333243085,no
5084,CXCL12,CCR1,2789.0,gtex,0.383,0.708,0.708,frequency,genecalls,autopsy,1.0,6633.0,MWU_ratio,0.0035192588291859,0.0210128403518365,2.858372425189136,2.919668907427193,no
5085,CCL19,CCR1,924.0,gtex,0.621,0.708,0.708,frequency,genecalls,autopsy,1.0,6546.0,MWU_ratio,0.003918878623477,0.0229235232647932,2.7718201401414944,2.6251406526090366,no
5086,CCL21,CCR1,996.0,gtex,0.616,0.708,0.708,frequency,genecalls,autopsy,1.0,6463.0,MWU_ratio,0.0046539170595605,0.0249858779150713,2.8709514570484758,2.8709514570484744,no
5105,CXCL2,CCR1,2890.0,gtex,0.637,0.708,0.708,frequency,genecalls,autopsy,1.0,6633.0,MWU_ratio,0.0035192588291859,0.0210128403518365,2.858372425189136,2.919668907427193,no
5073,CCL2,CCR1,948.0,gtex,0.477,0.708,0.708,frequency,genecalls,autopsy,1.0,6633.0,MWU_ratio,0.0035192588291859,0.0210128403518365,2.858372425189136,2.919668907427193,yes
5111,CX3CL1,CCR1,2691.0,gtex,0.365,0.708,0.708,frequency,genecalls,autopsy,1.0,6633.0,MWU_ratio,0.0035192588291859,0.0210128403518365,2.858372425189136,2.919668907427193,no
5091,CCL3,CCR1,1170.0,gtex,0.816,0.708,0.816,frequency,genecalls,autopsy,1.0,4397.0,MWU_ratio,0.0004060651529455,0.0046491170824717,1.9964308002122155,1.877931333243085,yes
5091,CCL3,CCR1,1170.0,gtex,0.816,0.708,0.816,frequency,genecalls,hcmdb,1.0,1704.0,MWU_ratio,0.0007005311430636,0.0214057620479339,1.829140462649694,2.0326887902643977,yes
5128,ANXA1,CCR10,321.0,gtex,0.545,0.564,0.564,frequency,genecalls,autopsy,-1.0,-4781.0,MWU_ratio,0.002460013861103,0.0160034709257026,2.939676515035048,2.992268322875841,no
